timestamp,soc,voltage,current,power,charging,raw_payload
2026-06-25T07:34:34.099255,98.4,25.062,0.581,14.56,0,"{""soc"":98.4,""voltage"":25.062,""current"":0.581,""power"":14.56,""ocv"":25.093,""cell_v"":4.177,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":621}"
2026-06-25T07:34:39.091879,98.4,25.059,0.583,14.6,0,"{""soc"":98.4,""voltage"":25.059,""current"":0.583,""power"":14.60,""ocv"":25.091,""cell_v"":4.177,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":626}"
2026-06-25T07:34:44.212345,98.3,25.058,0.581,14.58,0,"{""soc"":98.3,""voltage"":25.058,""current"":0.581,""power"":14.58,""ocv"":25.089,""cell_v"":4.176,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":631}"
2026-06-25T07:34:49.159747,98.3,25.056,0.591,14.83,0,"{""soc"":98.3,""voltage"":25.056,""current"":0.591,""power"":14.83,""ocv"":25.088,""cell_v"":4.176,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":636}"
2026-06-25T07:34:54.248840,98.3,25.054,0.591,14.81,0,"{""soc"":98.3,""voltage"":25.054,""current"":0.591,""power"":14.81,""ocv"":25.086,""cell_v"":4.176,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":641}"
2026-06-25T07:34:59.155098,98.3,25.053,0.536,13.44,0,"{""soc"":98.3,""voltage"":25.053,""current"":0.536,""power"":13.44,""ocv"":25.082,""cell_v"":4.175,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":646}"
2026-06-25T07:35:04.387332,98.3,25.052,0.584,14.63,0,"{""soc"":98.3,""voltage"":25.052,""current"":0.584,""power"":14.63,""ocv"":25.083,""cell_v"":4.175,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":651}"
2026-06-25T07:35:09.115237,98.3,25.05,0.591,14.81,0,"{""soc"":98.3,""voltage"":25.050,""current"":0.591,""power"":14.81,""ocv"":25.082,""cell_v"":4.175,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":656}"
2026-06-25T07:35:14.115363,98.2,25.048,0.595,14.88,0,"{""soc"":98.2,""voltage"":25.048,""current"":0.595,""power"":14.88,""ocv"":25.080,""cell_v"":4.175,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":661}"
2026-06-25T07:35:19.239912,98.2,25.046,0.596,14.92,0,"{""soc"":98.2,""voltage"":25.046,""current"":0.596,""power"":14.92,""ocv"":25.078,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":666}"
2026-06-25T07:35:24.169721,98.2,25.044,0.54,13.5,0,"{""soc"":98.2,""voltage"":25.044,""current"":0.540,""power"":13.50,""ocv"":25.074,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":671}"
2026-06-25T07:35:29.194821,98.2,25.044,0.536,13.8,0,"{""soc"":98.2,""voltage"":25.044,""current"":0.536,""power"":13.80,""ocv"":25.073,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":676}"
2026-06-25T07:35:34.187236,98.2,25.044,0.542,13.57,0,"{""soc"":98.2,""voltage"":25.044,""current"":0.542,""power"":13.57,""ocv"":25.073,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":681}"
2026-06-25T07:35:39.119269,98.2,25.044,0.391,9.8,0,"{""soc"":98.2,""voltage"":25.044,""current"":0.391,""power"":9.80,""ocv"":25.065,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":686}"
2026-06-25T07:35:44.234107,98.2,25.045,0.389,9.75,0,"{""soc"":98.2,""voltage"":25.045,""current"":0.389,""power"":9.75,""ocv"":25.066,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":691}"
2026-06-25T07:35:49.544833,98.1,25.045,0.39,9.75,0,"{""soc"":98.1,""voltage"":25.045,""current"":0.390,""power"":9.75,""ocv"":25.066,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""offline"",""uptime_s"":696}"
